room_id,floor,capacity,is_theory,is_practicum
G1.2,1,50,False,True
G1.3,1,50,False,True
G1.4,1,50,False,True
G1.5,1,50,False,True
G1.6,1,50,False,True
F2.1,2,50,True,True
F2.2,2,50,True,True
F2.4,2,50,True,True
F2.5,2,50,True,True
F2.6,2,50,True,True
F2.8,2,50,True,True
F2.9,2,50,True,True
F3.1,3,50,True,False
F3.10,3,50,True,False
F3.11,3,50,True,False
F3.12,3,50,True,False
F3.13,3,50,True,False
F3.14,3,50,True,False
F3.15,3,50,True,False
F3.16,3,50,True,False
F3.17,3,50,True,False
F3.18,3,50,True,False
F3.2,3,50,True,False
F3.3,3,50,True,False
F3.4,3,50,True,False
F3.5a,3,30,True,False
F3.5b,3,30,True,False
F3.6,3,50,True,False
F3.7a,3,30,True,False
F3.7b,3,30,True,False
F3.8,3,50,True,False
F3.9,3,50,True,False
F4.10,4,50,True,False
F4.11,4,50,True,False
F4.12,4,50,True,False
F4.13,4,50,True,False
F4.14,4,50,True,False
F4.2,4,50,True,False
F4.3,4,50,True,False
F4.4,4,50,True,False
F4.5,4,50,True,False
F4.6,4,50,True,False
F4.7,4,50,True,False
F4.9,4,50,True,False
